Año;Aerolinea;Pasajeros;Origen_final;Destino_final;Mes;Ruta;Demanda_pred;Precio_final;Ingreso_estimado
2024;LATAM AIRLINES CHILE;2435;SANTIAGO;OSORNO;1;SANTIAGO-OSORNO;5122.771;68.24018708;104257.5192
2024;LATAM AIRLINES CHILE;646;VALDIVIA;SANTIAGO;11;VALDIVIA-SANTIAGO;5585.528;50.62953759;22839.35563
2024;LATAM AIRLINES CHILE;1848;TEMUCO;SANTIAGO;10;TEMUCO-SANTIAGO;2658.0273;56.21979019;89171.27553
2024;LATAM AIRLINES CHILE;2233;OSORNO;SANTIAGO;6;OSORNO-SANTIAGO;5422.149;52.42302682;75519.24359
2024;LATAM AIRLINES CHILE;4895;ANTOFAGASTA;LA SERENA;6;ANTOFAGASTA-LA SERENA;5698.7656;118.9561216;413284.5441
2024;LATAM AIRLINES CHILE;27730;ANTOFAGASTA;SANTIAGO;11;ANTOFAGASTA-SANTIAGO;21280.111;72.0900692;1522319.305
2024;LATAM AIRLINES CHILE;7297;ARICA;SANTIAGO;1;ARICA-SANTIAGO;8489.069;53.16003471;312717.7257
2024;LATAM AIRLINES CHILE;4218;BALMACEDA;PUERTO MONTT;5;BALMACEDA-PUERTO MONTT;4068.9714;80.18696357;205436.919
2024;LATAM AIRLINES CHILE;811;BALMACEDA;SANTIAGO;3;BALMACEDA-SANTIAGO;1972.3519;85.9137776;43883.45915
2024;LATAM AIRLINES CHILE;11836;CONCEPCION;SANTIAGO;5;CONCEPCION-SANTIAGO;12421.495;120.1389918;996890.0625
2024;LATAM AIRLINES CHILE;3942;CALAMA;LA SERENA;8;CALAMA-LA SERENA;4653.971;71.16332358;248068.9668
2024;LATAM AIRLINES CHILE;25716;CALAMA;SANTIAGO;8;CALAMA-SANTIAGO;20342.068;72.9994359;1127533.308
2024;LATAM AIRLINES CHILE;13423;COPIAPO;SANTIAGO;12;COPIAPO-SANTIAGO;11764.929;84.01556794;946287.2729
2024;LATAM AIRLINES CHILE;9083;IQUIQUE;SANTIAGO;7;IQUIQUE-SANTIAGO;10275.29;91.35689539;647364.0408
2024;LATAM AIRLINES CHILE;4702;LA SERENA;ANTOFAGASTA;7;LA SERENA-ANTOFAGASTA;5201.9146;105.6939777;266620.8289
2024;LATAM AIRLINES CHILE;4367;LA SERENA;CALAMA;2;LA SERENA-CALAMA;5210.2393;104.3293651;375677.1298
2024;LATAM AIRLINES CHILE;2909;LA SERENA;SANTIAGO;8;LA SERENA-SANTIAGO;5074.307;124.4269385;312860.7536
2024;LATAM AIRLINES CHILE;3901;PUERTO MONTT;BALMACEDA;1;PUERTO MONTT-BALMACEDA;4085.3174;139.3764048;431984.947
2024;LATAM AIRLINES CHILE;4878;PUERTO MONTT;PUNTA ARENAS;9;PUERTO MONTT-PUNTA ARENAS;5104.364;51.87293627;204038.7815
2024;LATAM AIRLINES CHILE;28118;PUERTO MONTT;SANTIAGO;7;PUERTO MONTT-SANTIAGO;21119.13;117.9960687;1925592.109
2024;LATAM AIRLINES CHILE;2870;PUNTA ARENAS;PUERTO MONTT;5;PUNTA ARENAS-PUERTO MONTT;4500.0693;102.6410527;231398.7123
2024;LATAM AIRLINES CHILE;12009;PUNTA ARENAS;SANTIAGO;5;PUNTA ARENAS-SANTIAGO;10896.658;100.7556441;847324.8065
2024;LATAM AIRLINES CHILE;23288;SANTIAGO;ANTOFAGASTA;10;SANTIAGO-ANTOFAGASTA;19504.617;80.97151196;1325719.035
2024;LATAM AIRLINES CHILE;8208;SANTIAGO;ARICA;4;SANTIAGO-ARICA;7060.144;49.77848688;292988.8886
2024;LATAM AIRLINES CHILE;523;SANTIAGO;BALMACEDA;6;SANTIAGO-BALMACEDA;1587.5862;82.98774819;33563.499
2024;LATAM AIRLINES CHILE;8419;SANTIAGO;CONCEPCION;9;SANTIAGO-CONCEPCION;10943.329;86.79356083;475394.6576
2024;LATAM AIRLINES CHILE;28546;SANTIAGO;CALAMA;1;SANTIAGO-CALAMA;22484.139;85.17696916;2076298.57
